# File: gdp_mil10usd_province.csv
# Title: GDP by province
# Units: million 2010 USD
# Description: Provincial GDP by historical and future years are calculated from GDP per capita and population.
# Source for GDP per capita: Historical data (1975-2013) were obtained from the 2014 China Statistics Yearbook and the China Compendium of 60-year Statistics (1949-2008) as in current CNY. The numbers were then all converted to 2010CNY using the World Bank GDP deflators for China (World Development Indicators Database 2014). All the numbers were converted to 2010USD using the annual average USD-CNY exchange rate in 2010. IMF projected growth rates were applied to project GDP per capita from 2014 to 2020 assuming the same growth rate in 2019 for 2020. Growth rates from 2021 to 2100 came from the OECD SSP2 Database (IIASA SSP Database 2015).
province.name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Beijing,8271.482298,8293.635864,8550.616018,9034.927731,9440.430947,10566.46331,10186.21763,11118.50463,12966.65486,14841.88888,16578.93991,17799.909,19220.01104,21236.6084,21606.06372,22004.75497,24982.78217,27540.40778,29808.60129,32835.60538,37824.63867,41796.41938,47087.23115,53820.04547,61168.15704,70178.03619,80703.2092,92387.60499,102272.3586,112442.825,121968.181,136673.7646,157855.3847,163951.8067,178636.4276,191517.0442,202028.5707,216177.395,232561.4125,252188.1252,272632.1001,293493.9647,315235.7129,337824.3854,361616.4163,386970.5061,413407.3051,441522.0919,471412.8832,503182.8968,536940.7954,563479.4423,591162.9587,620032.535,650130.4718,681500.1916,705636.0147,730425.8712,755879.9103,782008.1567,808820.494,831153.771,853874.5258,876981.9981,900475.1276,924352.5419,944348.4804,964523.1215,984870.4136,1005384.031,1026057.371,1041789.77,1057489.023,1073147.014,1088755.491,1104306.062,1115329.043,1126172.164,1136828.283,1147290.253,1157550.931,1165937.944,1174083.721,1181982.142,1189627.143,1197012.714,1202860.456,1208423.819,1213697.892,1218677.868,1223359.046,1226694.349,1229715.77,1232419.768,1234802.945,1236862.059,1237233.652,1237585.634,1237918,1238230.745,1238523.864,1238714.954,1238886.388,1239038.169,1239170.301,1239282.793,1239449.568,1239596.732,1239724.292,1239832.254,1239920.629,1240453.509,1240967.033,1241461.193,1241935.982,1242391.392,1242684.809,1242958.759,1243213.246,1243448.275,1243663.852,1243209.745,1242736.358,1242243.73,1241731.903,1241200.92
Tianjin,6320.772171,5766.834401,5844.517337,6879.807355,7310.419468,7864.456843,7900.172811,8188.541131,8738.844224,10108.60009,11348.37206,12166.91569,12944.89102,13444.88218,13432.24343,13659.63831,14299.71235,15971.96065,18128.01577,21011.86312,23381.68285,26208.72836,28668.78105,31121.08132,33110.90704,37775.43607,41768.26368,46049.4937,52656.41651,57980.21867,64709.18881,75136.05612,84207.62163,99108.75652,110563.0787,125173.1533,140561.3743,155898.1504,171376.9838,189218.1613,208210.0925,228072.8824,249185.3405,271552.254,295493.8597,321350.1354,348771.7387,378303.3101,410086.6042,444271.1739,481014.6627,512012.9944,544681.0722,579085.5177,615294.0543,653375.4158,685097.872,717932.121,751892.0693,786990.294,823237.9489,855321.3782,888129.1166,921650.0378,955871.3287,990778.4501,1021741.578,1053051.915,1084683.158,1116607.605,1148796.171,1175471.007,1202058.982,1228526.713,1254840.205,1280964.915,1301659.36,1321911.368,1341689.765,1360963.626,1379702.343,1395882.058,1411419.396,1426287.903,1440461.89,1453916.495,1465077.914,1475449.383,1485011.454,1493745.848,1501635.512,1507383.64,1512247.446,1516216.123,1519280.318,1521432.166,1520992.949,1520529.627,1520042.237,1519530.814,1518995.397,1518335.024,1517650.821,1516942.837,1516211.119,1515455.719,1514767.025,1514054.663,1513318.684,1512559.139,1511776.081,1511535.064,1511270.237,1510981.629,1510669.273,1510333.204,1509800.193,1509243.648,1508663.617,1508060.146,1507433.285,1505995.4,1504535.344,1503053.205,1501549.074,1500023.042
Hebei,12036.93298,11838.58188,13649.57555,15177.0208,15972.72814,16654.1439,16284.77637,18044.06859,20052.89315,22763.36422,25598.31653,27280.90651,30693.24696,36307.03177,38987.09959,39368.30742,44720.80695,49655.0717,56873.81563,62715.06018,71499.78126,80663.44517,89631.45468,96356.49156,104333.8596,112956.9618,121398.6948,131088.2696,141367.7508,158000.5083,177049.7951,196318.5673,218140.5688,236184.5623,253342.9585,276743.9866,304756.6628,321314.8335,337518.5153,363684.578,390779.8346,418238.4046,446729.3415,476210.7806,507189.7129,540168.4592,574478.2971,610952.1333,649726.6539,690947.2571,734768.6145,768639.8539,804059.5248,841099.2496,879834.0453,920342.4869,951181.3544,983045.8406,1015971.37,1049994.646,1085153.695,1114551.244,1144744.596,1175756.847,1207611.781,1240333.889,1268221.92,1296744.278,1325916.959,1355756.338,1386279.18,1410605.556,1435373.572,1460592.568,1486272.02,1512421.529,1532919.365,1553715.601,1574815.432,1596224.038,1617946.583,1637649.262,1657615.7,1677849.679,1698354.909,1719135.018,1738354.617,1757812.939,1777512.489,1797455.647,1817644.665,1836520.92,1855613.329,1874923.116,1894451.343,1914198.906,1932042.192,1950020.729,1968135.218,1986386.359,2004774.854,2023166.822,2041695.075,2060360.291,2079163.147,2098104.322,2117310.765,2136659.185,2156150.287,2175784.778,2195563.366,2216315.931,2237229.344,2258304.487,2279542.244,2300943.502,2322242.65,2343702.122,2365322.751,2387105.375,2409050.833,2429889.055,2450869.175,2471991.795,2493257.517,2514666.943
Shanxi,6328.032946,5710.270814,6497.743326,7294.253581,8365.270319,8264.782233,8906.420368,9990.551204,10981.97001,13527.22272,14120.98569,14689.22964,15127.26839,16395.18766,17829.74074,18855.57147,19543.76477,21404.80419,22886.56105,23700.2371,27420.7933,30555.86434,33554.10112,36475.01214,38066.83388,40968.15161,44171.94826,49775.82945,58318.03879,66560.85193,74035.2347,82137.77069,96578.676,107905.8072,108159.2172,124852.9084,139694.5572,146454.581,150292.0645,161970.5429,174069.6135,186337.9713,199074.4543,212261.3159,226125.5383,240892.3032,256264.7272,272615.7101,290007.9142,308508.0669,328187.2285,343439.6425,359400.906,376104.6074,393585.9754,411881.9611,425871.0175,440338.8398,455302.6458,470780.3045,486790.3608,500238.7088,514066.636,528285.7816,542908.1568,557946.1543,570835.0383,584034.4099,597552.6678,611398.4331,625580.5526,636993.5574,648631.9829,660501.0609,672606.1177,684952.573,694766.9728,704742.807,714883.2605,725191.5356,735670.8499,745260.0311,754997.3665,764885.3937,774926.6373,785123.606,794638.1781,804292.107,814087.3518,824025.8339,834109.4334,843623.0474,853268.3933,863046.8483,872959.7309,883008.2979,892212.7291,901498.7405,910866.8917,920317.7443,929851.8623,939407.3218,949045.8954,958768.1375,968574.6045,978465.8551,988501.4022,998624.0609,1008834.412,1019133.039,1029520.527,1040386.696,1051350.962,1062414.023,1073576.581,1084839.343,1096077.232,1107414.129,1118850.715,1130387.673,1142025.691,1153162.317,1164389.323,1175707.253,1187116.652,1198618.069
Inner Mongolia,4405.414133,4251.107045,4461.266002,4810.891793,5041.289159,5195.874124,5701.208445,6689.473352,7498.327689,8784.128869,10574.61942,11345.95814,12485.00983,14019.51617,13868.62906,14024.62736,15004.6865,16378.21176,18090.00661,19928.42862,21501.7228,23899.78689,26149.72413,28584.03172,31495.44707,34162.76657,37300.50965,41557.0795,48782.81825,56677.46831,68338.91086,83242.90581,102970.7642,125323.1975,143171.165,158385.5365,178508.4006,192009.9341,200740.8346,214682.7562,228955.9589,243222.9916,257869.2109,272861.2873,288479.0116,304991.3291,322002.9048,339965.3485,358932.5731,378961.6213,400112.8515,415575.3757,431641.8544,448336.8939,465686.1574,483716.4119,496440.1795,509510.4238,522937.6971,536732.8984,550907.2841,561974.8972,573282.3646,584835.9969,596642.2717,608707.8367,618247.9049,627960.5618,637849.9211,647920.1735,658175.586,665367.2252,672665.3358,680072.2028,687590.1188,695221.3822,700167.7269,705180.6403,710261.3223,715410.9427,720630.6392,724886.2119,729200.2221,733573.4175,738006.5011,742500.1297,746265.4727,750083.6124,753954.8757,757879.5358,761857.8114,765239.5393,768668.7681,772145.4178,775669.3504,779240.369,781998.389,784753.665,787506.1059,790255.621,793002.1197,795692.5808,798379.4832,801062.7374,803742.2538,806417.9429,809137.9707,811854.3142,814566.8838,817275.5901,819980.3439,822988.9549,825995.5696,829000.0959,832002.4415,835002.5144,837904.0658,840802.4844,843697.6795,846589.5604,849478.0366,851917.4374,854350.4743,856777.0654,859197.1292,861610.5843
Liaoning,17994.21316,18029.64318,17586.18977,18998.21501,19256.56134,21345.62323,21119.57091,22611.59679,25774.70487,30025.00211,33464.80171,37819.65221,42290.25091,45620.76151,47562.24304,46688.7316,50061.50757,57209.16748,67636.79942,70579.493,70079.82069,73765.12042,81214.19555,87882.75497,95257.27964,103636.7362,109543.5065,117025.0133,122611.633,124348.3605,140829.5755,156653.7457,178976.224,201618.3883,223607.1883,250459.6137,276301.2412,300414.8077,322924.8413,344498.6453,366515.6587,388437.4033,410882.2268,433797.314,457627.2282,482795.7798,508674.2395,535974.642,564777.9813,595170.061,627241.7897,650331.2311,674320.503,699247.6285,725152.3622,752076.2723,770723.9167,789898.9951,809619.1083,829902.4957,850768.0578,866840.3979,883295.7478,900145.5909,917401.7605,935076.4484,948897.6076,963015.6501,977438.7921,992175.4486,1007234.236,1017648.241,1028273.737,1039115.885,1050179.918,1061471.141,1068720.206,1076130.783,1083705.981,1091448.908,1099362.67,1105870.937,1112534.942,1119357.059,1126339.639,1133485.01,1139589.955,1145847.747,1152260.122,1158828.776,1165555.37,1171445.987,1177486.623,1183678.415,1190022.453,1196519.78,1201849.921,1207184.569,1212523.583,1217866.824,1223214.15,1228483.7,1233756.346,1239031.946,1244310.356,1249591.434,1254949.879,1260311.339,1265675.672,1271042.734,1276412.381,1282264.193,1288122.505,1293987.177,1299858.069,1305735.04,1311467.447,1317204.317,1322945.507,1328690.872,1334440.269,1339492.956,1344543.734,1349592.458,1354638.982,1359683.161
Jilin,6554.639835,5949.78225,6291.506851,6796.918109,7161.868852,7489.958898,8137.265808,8733.200032,10630.77355,11949.70417,12924.24827,14194.94323,17495.4801,19087.16669,18559.41921,18679.88481,19334.64608,21675.78844,24171.13619,26884.59987,28530.41973,31461.78047,33196.14658,35705.70155,38409.34633,43316.29801,46148.61101,50284.12186,54373.14277,58185.97495,63356.07127,71977.2284,84719.49527,94788.18758,106989.771,117616.4589,131381.6647,144355.7279,154815.5429,165508.2597,176460.9521,187415.6876,198671.6748,210205.483,222235.0263,234970.0322,248108.7059,262002.02,276694.918,292235.1312,308673.3582,320757.25,333342.6164,346451.9247,360108.7227,374337.6933,384505.6329,394986.7529,405792.2231,416933.6471,428423.0793,437549.8498,446916.2608,456529.9808,466398.9359,476531.3168,484746.7854,493156.8851,501767.3633,510584.1304,519613.263,526287.7532,533107.8386,540077.3625,547200.247,554480.4941,559683.5344,565000.6092,570434.2681,575987.0891,581661.6781,586622.8368,591695.3619,596881.4212,602183.1951,607602.8762,612494.7381,617497.6498,622613.4598,627844.0178,633191.1738,638114.4867,643149.0751,648296.4878,653558.2656,658935.9415,663701.2816,668490.4311,673303.4143,678140.2549,683000.976,687839.844,692701.9866,697587.4201,702496.1601,707428.2216,712426.1062,717447.9366,722493.7298,727563.5025,732657.2702,738051.1698,743473.0469,748922.9444,754400.9048,759906.9695,765353.3488,770826.6475,776326.8961,781854.1242,787408.3606,792575.0913,797763.2409,802972.7986,808203.7527,813456.0908
Heilongjiang,12826.46296,12744.48307,13435.57285,14505.61792,14713.58482,16787.83891,16706.27503,17825.20039,19606.10894,21809.58049,22892.76146,25041.07942,26734.26975,28576.39276,29878.91181,31414.0936,34381.04703,37440.35129,40472.02127,46405.9163,50677.03794,56174.74272,61661.58043,64365.80401,66173.40566,69949.41432,73784.23665,77875.36428,82872.63699,88538.56733,96491.00079,104667.947,113885.0707,122641.1141,126219.6344,140698.7897,156407.4837,165543.0327,171528.4422,182251.0289,193146.1459,203933.6367,214942.7292,226148.1926,237783.7993,250069.8324,262680.7876,275985.8629,290026.5024,304846.808,320493.7211,331532.7526,343027.3998,354999.2222,367470.9051,380466.3221,389293.5081,398416.4276,407846.8752,417597.1667,427680.1631,435399.4871,443362.6821,451578.6205,460056.5296,468806.0074,475689.1332,482790.2245,490116.5404,497675.6087,505475.2358,511024.8896,516763.1263,522695.3219,528827.0357,535164.016,539554.0698,544116.2783,548854.6205,553773.2066,558876.2821,563363.6192,568029.8706,572878.8976,577914.6878,583141.3593,587941.208,592929.3626,598109.7262,603486.329,609063.3323,614322.9591,619781.989,625444.466,631314.565,637396.5952,642988.0207,648618.1595,654287.1759,659995.2342,665742.4985,671484.4648,677265.193,683084.8388,688943.5581,694841.5063,700820.6342,706840.017,712899.8168,719000.1957,725141.3155,731597.0446,738098.5992,744646.1895,751240.0257,757880.3185,764479.5474,771124.1188,777814.2273,784550.0679,791331.8352,797742.4787,804192.4712,810681.9401,817211.0122,823779.8143
Shanghai,18502.73936,18393.77127,19878.08967,22628.76395,22512.88516,23700.47846,23764.91406,24188.16544,24910.1668,26780.63002,30111.8736,30665.95063,32077.5952,33561.73085,33003.26234,34331.80992,37283.12109,43278.56042,51101.46845,57077.70308,62704.80641,69089.53729,77956.33316,86057.05732,95646.14545,105902.3123,113396.2795,122920.0491,136730.047,138853.2463,161836.8478,177997.4675,200292.9635,207537.6164,221166.5795,232937.196,238622.6014,244014.4332,257623.6059,280044.905,303472.5324,327465.2568,352540.8143,378666.7646,406247.5786,435693.6221,466472.8733,499263.4802,534185.5201,571365.4986,610936.6484,642411.9775,675293.6587,709633.2421,745483.6193,782899.0311,812094.8681,842117.0828,872978.3396,904691.0626,937267.4108,964715.1245,992663.5425,1021110.998,1050055.356,1079493.999,1104436.888,1129616.885,1155025.073,1180652.116,1206488.256,1226526.274,1246527.195,1266479.1,1286369.863,1306187.154,1320636.093,1334851.232,1348821.834,1362537.167,1375986.514,1387177.973,1398048.186,1408587.877,1418787.871,1428639.109,1436612.928,1444202.576,1451400.609,1458199.766,1464592.986,1469324.731,1473628.663,1477499.468,1480932.087,1483921.733,1484831.284,1485717.716,1486581,1487421.109,1488238.014,1488932.648,1489603.935,1490251.858,1490876.402,1491477.552,1492144.284,1492787.669,1493407.695,1494004.348,1494577.618,1495687.065,1496773.714,1497837.533,1498878.492,1499896.56,1500719.488,1501519.267,1502295.88,1503049.312,1503779.547,1503700.089,1503597.107,1503470.627,1503320.678,1503147.289
Jiangsu,16693.43759,16612.9021,17465.38179,20659.31548,23465.49546,24292.99042,25613.36131,27998.62495,30988.13138,35551.0551,42040.56014,46542.16992,54240.69296,62580.74708,62631.52486,62237.00157,66800.68077,82959.89539,100847.3889,116324.8554,129334.3236,141493.9147,151773.6327,163031.3594,175845.8927,190555.2205,207081.6489,227732.1276,254516.6682,289109.9381,325481.4691,366056.6481,417105.354,456999.6937,506485.1297,562131.3292,610492.271,653610.5898,705555.3047,752564.2158,800500.4047,848183.0218,896957.6324,946703.5394,998385.0984,1052919.843,1108928.939,1167957.004,1230171.096,1295747.838,1364873.991,1414349.814,1465681.954,1518944.892,1574216.314,1631577.249,1670866.227,1711188.976,1752577.381,1795064.396,1838684.071,1871821.873,1905668.743,1940244.138,1975568.043,2011660.975,2039335.678,2067525.353,2096243.071,2125502.148,2155316.152,2175064.043,2195145.879,2215569.234,2236341.714,2257470.955,2269885.408,2282534.253,2295421.555,2308551.295,2321927.369,2332222.628,2342736.916,2353472.817,2364432.792,2375619.179,2384511.719,2393613.02,2402924.323,2412446.724,2422181.175,2430063.327,2438143.489,2446421.637,2454897.595,2463571.033,2469725.934,2475856.756,2481963.267,2488045.233,2494102.422,2499968.305,2505808.165,2511621.781,2517408.931,2523169.398,2529053.79,2534911.755,2540743.074,2546547.53,2552324.906,2559032.382,2565716.994,2572378.503,2579016.672,2585631.263,2591924.595,2598192.408,2604434.477,2610650.579,2616840.495,2621632.806,2626392.795,2631120.292,2635815.131,2640477.146
