#INPUT_TABLE
#Variable ID
#InputEmissCoeff
#
region,supplysector,subsector,stub.technology,year,Non.CO2,emiss.coef
USA,comm cooling,gas,gas,1975,BC,0
USA,comm heating,biomass,biomass,1975,BC,0.0218608475
USA,comm heating,gas,gas,1975,BC,0
USA,comm heating,refined liquids,refined liquids,1975,BC,0.0011614984
USA,comm others,biomass,biomass,1975,BC,0.0218608475
USA,comm others,coal,coal,1975,BC,0.3409659498
USA,comm others,gas,gas,1975,BC,0
USA,comm others,refined liquids,refined liquids,1975,BC,0.0011614984
USA,electricity,biomass,biomass (conv),1975,BC,0.005054581
USA,electricity,coal,coal (conv pul),1975,BC,3.40421e-05
USA,electricity,gas,gas (steam/CT),1975,BC,1.7726e-06
USA,electricity,refined liquids,refined liquids (steam/CT),1975,BC,0.0005293759
USA,industrial energy use,biomass,biomass,1975,BC,0.000868667
USA,industrial energy use,coal,coal,1975,BC,0.0267356575
USA,industrial energy use,gas,gas,1975,BC,4.099e-07
USA,industrial energy use,refined liquids,refined liquids,1975,BC,0.0299314119
USA,N fertilizer,gas,gas,1975,BC,4.099e-07
USA,resid heating,biomass,biomass,1975,BC,0.0704346693
USA,resid heating,gas,gas,1975,BC,1.3107e-06
USA,resid heating,refined liquids,refined liquids,1975,BC,0.0008021371
USA,resid others,biomass,biomass,1975,BC,0.0704346693
USA,resid others,coal,coal,1975,BC,0.1429256289
USA,resid others,gas,gas,1975,BC,1.3107e-06
USA,resid others,refined liquids,refined liquids,1975,BC,0.0008021371
USA,trn_aviation_intl,International Aviation,Liquids,1975,BC,0.0073576967
USA,trn_freight,Domestic Ship,Liquids,1975,BC,0.0101152148
USA,trn_freight,Freight Rail,Liquids,1975,BC,0.0101152148
USA,trn_freight_road,Truck (>12t),Liquids,1975,BC,0.0101152148
USA,trn_freight_road,Truck (0-2.7t),Liquids,1975,BC,0.0101152148
USA,trn_freight_road,Truck (2.7-4.5t),Liquids,1975,BC,0.0101152148
USA,trn_freight_road,Truck (4.5-12t),Liquids,1975,BC,0.0101152148
USA,trn_pass,Domestic Aviation,Liquids,1975,BC,0.0073576967
USA,trn_pass,Passenger Rail,Liquids,1975,BC,0.0073576967
USA,trn_pass_road,Bus,Liquids,1975,BC,0.0073576967
USA,trn_pass_road,Bus,NG,1975,BC,0
USA,trn_pass_road_LDV_2W,Motorcycle (>250cc),Liquids,1975,BC,0.0073576967
USA,trn_pass_road_LDV_4W,Compact Car,Liquids,1975,BC,0.0073576967
USA,trn_pass_road_LDV_4W,Large Car,Liquids,1975,BC,0.0073576967
USA,trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,1975,BC,0.0073576967
USA,trn_pass_road_LDV_4W,Midsize Car,Liquids,1975,BC,0.0073576967
USA,trn_shipping_intl,International Ship,Liquids,1975,BC,0.0101152148
USA,comm cooling,gas,gas,1975,OC,8.2655e-06
USA,comm heating,biomass,biomass,1975,OC,0.1202036138
USA,comm heating,gas,gas,1975,OC,8.2655e-06
USA,comm heating,refined liquids,refined liquids,1975,OC,0.0005906595
USA,comm others,biomass,biomass,1975,OC,0.1202036138
USA,comm others,coal,coal,1975,OC,0.2758553657
USA,comm others,gas,gas,1975,OC,8.2655e-06
USA,comm others,refined liquids,refined liquids,1975,OC,0.0005906595
USA,electricity,biomass,biomass (conv),1975,OC,0.1584440579
USA,electricity,coal,coal (conv pul),1975,OC,0.0002380548
USA,electricity,gas,gas (steam/CT),1975,OC,0.0001268614
USA,electricity,refined liquids,refined liquids (steam/CT),1975,OC,0.0028690851
USA,industrial energy use,biomass,biomass,1975,OC,0.003284206
USA,industrial energy use,coal,coal,1975,OC,0.0279952238
USA,industrial energy use,gas,gas,1975,OC,3.7859e-06
USA,industrial energy use,refined liquids,refined liquids,1975,OC,0.0125854813
USA,N fertilizer,gas,gas,1975,OC,3.7859e-06
USA,resid heating,biomass,biomass,1975,OC,0.3869373058
USA,resid heating,gas,gas,1975,OC,7.8137e-06
USA,resid heating,refined liquids,refined liquids,1975,OC,0.0004317075
USA,resid others,biomass,biomass,1975,OC,0.3869373058
USA,resid others,coal,coal,1975,OC,0.1136080245
USA,resid others,gas,gas,1975,OC,7.8137e-06
USA,resid others,refined liquids,refined liquids,1975,OC,0.0004317075
USA,trn_aviation_intl,International Aviation,Liquids,1975,OC,0.0009148251
USA,trn_freight,Domestic Ship,Liquids,1975,OC,0.014623177
USA,trn_freight,Freight Rail,Liquids,1975,OC,0.014623177
USA,trn_freight_road,Truck (>12t),Liquids,1975,OC,0.014623177
USA,trn_freight_road,Truck (0-2.7t),Liquids,1975,OC,0.014623177
USA,trn_freight_road,Truck (2.7-4.5t),Liquids,1975,OC,0.014623177
USA,trn_freight_road,Truck (4.5-12t),Liquids,1975,OC,0.014623177
USA,trn_pass,Domestic Aviation,Liquids,1975,OC,0.0009148251
USA,trn_pass,Passenger Rail,Liquids,1975,OC,0.0009148251
USA,trn_pass_road,Bus,Liquids,1975,OC,0.0009148251
USA,trn_pass_road,Bus,NG,1975,OC,0
USA,trn_pass_road_LDV_2W,Motorcycle (>250cc),Liquids,1975,OC,0.0009148251
USA,trn_pass_road_LDV_4W,Compact Car,Liquids,1975,OC,0.0009148251
USA,trn_pass_road_LDV_4W,Large Car,Liquids,1975,OC,0.0009148251
USA,trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,1975,OC,0.0009148251
USA,trn_pass_road_LDV_4W,Midsize Car,Liquids,1975,OC,0.0009148251
USA,trn_shipping_intl,International Ship,Liquids,1975,OC,0.014623177
Africa_Eastern,comm heating,coal,coal,1975,BC,0.299561077
Africa_Eastern,comm heating,refined liquids,refined liquids,1975,BC,0.001020453
Africa_Eastern,comm others,biomass,biomass,1975,BC,0.0192061965
Africa_Eastern,comm others,coal,coal,1975,BC,0.299561077
Africa_Eastern,comm others,refined liquids,refined liquids,1975,BC,0.001020453
Africa_Eastern,electricity,biomass,biomass (conv),1975,BC,0.0029422252
Africa_Eastern,electricity,coal,coal (conv pul),1975,BC,1.98156e-05
Africa_Eastern,electricity,refined liquids,refined liquids (steam/CT),1975,BC,0.0003081448
Africa_Eastern,industrial energy use,biomass,biomass,1975,BC,0.0021226564
Africa_Eastern,industrial energy use,coal,coal,1975,BC,0.0653306925
Africa_Eastern,industrial energy use,refined liquids,refined liquids,1975,BC,0.073139771
Africa_Eastern,N fertilizer,refined liquids,refined liquids,1975,BC,0.073139771
Africa_Eastern,resid heating,traditional biomass,traditional biomass,1975,BC,0.0618815029
Africa_Eastern,resid others,biomass,biomass,1975,BC,0.0618815029
Africa_Eastern,resid others,coal,coal,1975,BC,0.1255695924
Africa_Eastern,resid others,refined liquids,refined liquids,1975,BC,0.0007047304
Africa_Eastern,resid others,traditional biomass,traditional biomass,1975,BC,0.0618815029
Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,1975,BC,0.0253141097
Africa_Eastern,trn_freight,Domestic Ship,Liquids,1975,BC,0.0348013333
Africa_Eastern,trn_freight,Freight Rail,Liquids,1975,BC,0.0348013333
Africa_Eastern,trn_freight_road,Truck (0-2t),Liquids,1975,BC,0.0348013333
Africa_Eastern,trn_freight_road,Truck (2-5t),Liquids,1975,BC,0.0348013333
Africa_Eastern,trn_freight_road,Truck (5-9t),Liquids,1975,BC,0.0348013333
Africa_Eastern,trn_freight_road,Truck (9-16t),Liquids,1975,BC,0.0348013333
Africa_Eastern,trn_pass,Domestic Aviation,Liquids,1975,BC,0.0253141097
Africa_Eastern,trn_pass,Passenger Rail,Liquids,1975,BC,0.0253141097
Africa_Eastern,trn_pass_road,Bus,Liquids,1975,BC,0.0253141097
Africa_Eastern,trn_pass_road_LDV,Three-Wheeler,Liquids,1975,BC,0.0253141097
Africa_Eastern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),Liquids,1975,BC,0.0253141097
Africa_Eastern,trn_pass_road_LDV_4W,Compact Car,Liquids,1975,BC,0.0253141097
Africa_Eastern,trn_pass_road_LDV_4W,Mini Car,Liquids,1975,BC,0.0253141097
Africa_Eastern,trn_pass_road_LDV_4W,Multipurpose Vehicle,Liquids,1975,BC,0.0253141097
